,Unnamed: 0,time,open,high,low,close,Volume,Volume MA,avg_high_low,avg_open_close,avg_open_close_high_low,bid_price_from_open,bid_price_from_avg_open_close,bid_price_from_avg_high_low,bid_price_from_avg_open_close_high_low,ask_price_from_open,ask_price_from_avg_open_close,ask_price_from_avg_high_low,ask_price_from_avg_open_close_high_low
62,62,2021-01-21T09:14:10Z,27201.87,27212.61,27194.45,27194.45,0.336481,0.26725864999999804,27203.53,27198.16,27200.84,27193.17,27189.46,27194.83,27192.14,27210.57,27206.86,27212.23,27209.54
63,63,2021-01-21T09:14:11Z,27185.02,27196.73,27184.42,27184.42,0.018855,0.25647334999999805,27190.57,27184.72,27187.65,27176.32,27176.02,27181.87,27178.95,27193.72,27193.42,27199.27,27196.35
64,64,2021-01-21T09:14:13Z,27201.06,27201.06,27201.06,27201.06,0.084119,0.235676499999998,27201.06,27201.06,27201.06,27192.36,27192.36,27192.36,27192.36,27209.76,27209.76,27209.76,27209.76
65,65,2021-01-21T09:14:14Z,27208.58,27208.58,27191.46,27191.46,0.023026,0.17463824999999805,27200.02,27200.02,27200.02,27199.88,27191.32,27191.32,27191.32,27217.28,27208.72,27208.72,27208.72
66,66,2021-01-21T09:14:15Z,27208.52,27208.52,27203.02,27203.02,0.012,0.16744574999999806,27205.77,27205.77,27205.77,27199.82,27197.07,27197.07,27197.07,27217.22,27214.47,27214.47,27214.47
67,67,2021-01-21T09:14:16Z,27209.27,27209.27,27200.02,27200.02,0.005723,0.16759139999999806,27204.64,27204.64,27204.64,27200.57,27195.94,27195.94,27195.94,27217.97,27213.34,27213.34,27213.34
68,68,2021-01-21T09:14:17Z,27193.59,27193.59,27189.48,27189.48,0.005219,0.14805634999999806,27191.54,27191.54,27191.54,27184.89,27182.84,27182.84,27182.84,27202.29,27200.24,27200.24,27200.24
69,69,2021-01-21T09:14:18Z,27184.41,27184.41,27180.0,27180.0,0.223241,0.13393554999999804,27182.2,27182.2,27182.2,27175.71,27173.5,27173.5,27173.5,27193.11,27190.9,27190.9,27190.9
70,70,2021-01-21T09:14:19Z,27192.77,27204.15,27180.0,27180.0,0.733772,0.16495289999999804,27192.08,27186.38,27189.23,27184.07,27177.68,27183.38,27180.53,27201.47,27195.08,27200.78,27197.93
71,71,2021-01-21T09:14:20Z,27173.36,27173.36,27173.36,27173.36,0.0841,0.15383679999999805,27173.36,27173.36,27173.36,27164.66,27164.66,27164.66,27164.66,27182.06,27182.06,27182.06,27182.06
72,72,2021-01-21T09:14:21Z,27158.85,27167.27,27157.89,27157.89,0.007776999999999998,0.15386459999999805,27162.58,27158.37,27160.48,27150.15,27149.67,27153.88,27151.78,27167.55,27167.07,27171.28,27169.18
73,73,2021-01-21T09:14:22Z,27160.86,27160.86,27151.0,27151.0,1.77965,0.24167554999999802,27155.93,27155.93,27155.93,27152.16,27147.23,27147.23,27147.23,27169.56,27164.63,27164.63,27164.63
74,74,2021-01-21T09:14:23Z,27151.0,27153.57,27143.0,27143.0,0.240413,0.25139054999999805,27148.28,27147.0,27147.64,27142.3,27138.3,27139.58,27138.94,27159.7,27155.7,27156.98,27156.34
75,75,2021-01-21T09:14:24Z,27148.16,27150.09,27135.34,27135.34,0.499271,0.2279477999999981,27142.72,27141.75,27142.23,27139.46,27133.05,27134.02,27133.53,27156.86,27150.45,27151.42,27150.93
76,76,2021-01-21T09:14:25Z,27134.0,27134.32,27129.28,27129.28,0.090274,0.22331499999999807,27131.8,27131.64,27131.72,27125.3,27122.94,27123.1,27123.02,27142.7,27140.34,27140.5,27140.42
77,77,2021-01-21T09:14:26Z,27129.0,27129.0,27110.22,27117.95,0.5836979999999999,0.2517549499999981,27119.61,27123.48,27121.54,27120.3,27114.78,27110.91,27112.84,27137.7,27132.18,27128.31,27130.24
78,78,2021-01-21T09:14:27Z,27110.22,27113.69,27104.0,27104.0,0.27725500000000003,0.2636281999999981,27108.84,27107.11,27107.98,27101.52,27098.41,27100.14,27099.28,27118.92,27115.81,27117.54,27116.68
79,79,2021-01-21T09:14:28Z,27103.83,27113.68,27100.8,27113.66,0.08562,0.2625510999999981,27107.24,27108.75,27107.99,27095.13,27100.05,27098.54,27099.29,27112.53,27117.45,27115.94,27116.69
80,80,2021-01-21T09:14:29Z,27113.66,27134.3,27100.0,27100.0,1.299853,0.3220476499999981,27117.15,27106.83,27111.99,27104.96,27098.13,27108.45,27103.29,27122.36,27115.53,27125.85,27120.69
81,81,2021-01-21T09:14:30Z,27113.69,27134.31,27113.69,27131.71,0.377441,0.3383893999999981,27124.0,27122.7,27123.35,27104.99,27114.0,27115.3,27114.65,27122.39,27131.4,27132.7,27132.05
82,82,2021-01-21T09:14:31Z,27138.4,27155.0,27138.4,27155.0,1.4632459999999998,0.3947276499999981,27146.7,27146.7,27146.7,27129.7,27138.0,27138.0,27138.0,27147.1,27155.4,27155.4,27155.4
83,83,2021-01-21T09:14:32Z,27143.67,27143.67,27137.24,27137.24,0.355239,0.411546849999998,27140.46,27140.46,27140.46,27134.97,27131.76,27131.76,27131.76,27152.37,27149.16,27149.16,27149.16
